Area,Bedrooms,Bathrooms,Floors,YearBuilt,Garage,Neighborhood,SalePrice
992,1,1,1,1992,1,Suburban,134700
2562,3,1,2,1957,1,Rural,222700
4384,3,1,1,2021,0,Suburban,323000
564,5,1,1,1957,0,Urban,137800
3068,3,1,3,1973,0,Rural,247800
2527,5,1,2,1966,1,Suburban,248650
3195,4,2,3,1972,0,Suburban,283850
1995,2,2,3,2012,0,Urban,220850
891,1,1,1,2013,0,Suburban,125950
4974,1,3,3,1963,0,Suburban,355100
4061,4,3,2,1959,0,Rural,328250
2778,4,3,3,1952,0,Rural,267000
3599,4,3,3,1981,1,Suburban,331750
700,1,2,1,1964,1,Suburban,126700
3604,5,1,2,1989,1,Rural,304400
2954,3,2,3,2019,1,Rural,280900
4145,1,2,3,1996,0,Rural,303550
1304,2,1,3,1970,1,Rural,158700
3231,5,1,2,1989,1,Urban,295750
3273,4,2,2,1983,1,Rural,291050
2070,2,3,1,1977,0,Suburban,214100
3190,3,1,3,1960,0,Urban,260000
4340,3,1,3,1953,1,Rural,315400
1528,1,3,1,1958,1,Urban,186300
1002,5,3,3,2015,0,Urban,217100
4993,2,1,1,1955,0,Rural,318650
1370,4,3,3,2021,1,Rural,227300
4988,4,3,2,2015,1,Rural,401400
706,2,3,3,2015,0,Rural,162300
1984,1,2,2,2000,1,Suburban,206700
1363,2,1,1,1991,1,Urban,167950
3290,5,2,1,2002,0,Rural,292600
1063,4,3,2,1983,1,Urban,205550
4691,4,1,2,1952,1,Suburban,342650
2257,2,3,3,1957,1,Urban,242450
2178,1,1,3,1981,0,Rural,185700
3742,1,2,1,1966,1,Urban,284400
1559,3,1,1,1996,0,Urban,179250
2222,3,2,2,1961,1,Rural,221900
3814,2,2,2,1983,0,Suburban,293100
3657,2,3,3,2005,0,Rural,306850
3125,4,1,1,1995,1,Rural,267250
3229,4,3,1,1953,0,Suburban,284850
2097,2,2,2,1965,1,Urban,216850
3560,3,2,1,1993,1,Suburban,298400
3193,1,2,2,1965,1,Urban,261650
4127,4,2,2,2015,1,Urban,353350
1863,4,1,2,1967,1,Suburban,205750
2481,3,2,1,1988,1,Urban,247950
2163,3,2,1,1959,0,Suburban,208350
2029,1,1,3,1983,0,Urban,188850
2538,1,3,1,1988,0,Urban,235800
3802,4,2,2,1998,0,Rural,312000
2737,2,3,3,1976,1,Suburban,267150
1806,5,2,3,1952,1,Rural,223400
4529,3,1,3,1966,1,Urban,338750
3175,2,1,1,2020,1,Urban,267250
1782,5,3,1,1951,1,Urban,236900
1209,5,3,3,1978,1,Rural,216350
4913,4,1,2,2002,1,Rural,363750
4248,3,1,3,1950,1,Suburban,314900
1163,5,3,1,1972,0,Urban,202250
2498,2,1,2,1999,1,Suburban,227100
3945,3,1,1,1991,1,Urban,307050
4243,5,2,2,1985,1,Suburban,355150
1995,5,2,3,1982,1,Suburban,246850
3804,2,2,1,1993,1,Urban,305600
4263,4,3,1,1978,0,Rural,339050
2353,1,3,3,1983,0,Suburban,230050
1791,4,2,1,1978,0,Suburban,205450
4081,4,1,2,1998,0,Urban,320950
3957,1,3,1,2019,0,Urban,316050
2136,3,1,3,2000,1,Rural,219300
4196,5,2,3,1986,0,Urban,353100
3499,3,3,1,1978,0,Urban,300850
3652,1,2,3,1987,1,Rural,286200
1198,1,1,3,2018,1,Rural,157800
2660,4,3,1,1986,1,Suburban,276300
4597,3,1,2,2002,1,Rural,337950
1354,5,2,2,2022,0,Rural,206800
3974,2,3,3,2013,0,Suburban,330100
2207,4,2,2,1996,0,Urban,241650
3277,3,1,1,1991,0,Rural,253650
2233,4,2,2,1964,1,Urban,243350
4010,1,2,3,1998,1,Urban,317400
702,2,1,1,1984,0,Urban,122800
3755,1,1,3,1970,0,Suburban,266250
4718,4,1,2,1953,0,Suburban,334300
4996,5,3,3,2010,1,Suburban,420300
1266,3,3,3,1966,1,Urban,205600
4889,3,1,3,1974,0,Rural,339150
2827,5,1,1,2015,0,Suburban,263350
3431,3,1,2,1977,1,Rural,272150
697,2,1,3,1992,0,Rural,124950
2430,5,3,2,1982,1,Suburban,278600
4082,4,2,2,1972,1,Urban,338200
1108,4,3,2,1974,1,Suburban,200100
3772,2,1,3,1972,0,Urban,282700
1647,3,3,3,2005,1,Urban,236350
4782,1,1,2,2004,1,Urban,337800
3897,4,3,2,1978,0,Urban,335750
3011,5,2,1,1990,1,Urban,295050
2294,3,3,3,1983,1,Suburban,257100
1159,5,2,1,1985,1,Urban,200950
3311,3,2,3,1955,0,Suburban,274550
1869,4,1,1,1953,1,Rural,191850
2486,5,1,1,2001,1,Rural,247100
646,5,3,1,1976,1,Urban,187600
3719,2,2,2,1956,1,Rural,285250
3411,3,3,1,2012,1,Urban,316650
2234,4,2,3,1991,1,Suburban,251500
2343,2,2,2,1987,0,Urban,225750
988,2,3,2,2003,0,Rural,167800
3476,1,3,2,1991,0,Urban,288600
2459,4,3,3,1999,0,Rural,265150
2885,1,3,2,2012,1,Urban,275350
3419,3,2,3,1996,1,Urban,307250
2302,2,2,1,2006,0,Suburban,219400
4561,4,3,1,1986,0,Rural,356350
3869,5,3,3,1972,0,Suburban,342550
762,2,1,1,1960,1,Urban,128600
1123,4,3,1,1959,0,Urban,186350
1516,2,3,1,2014,0,Suburban,197500
4143,3,2,3,1993,0,Rural,322550
2549,4,2,2,1997,0,Urban,259050
4223,3,3,2,1986,1,Suburban,349450
3608,4,1,1,2019,0,Urban,298600
4590,3,1,1,1968,0,Rural,312400
2556,1,2,1,1979,0,Rural,209000
3670,4,2,3,1987,1,Suburban,322100
2182,3,2,3,2006,0,Urban,238400
2755,4,2,1,1988,0,Suburban,256650
1654,5,1,1,1979,0,Urban,198900
4999,5,1,2,2017,0,Suburban,377550
3691,3,2,3,1980,0,Urban,306050
2196,5,3,2,1957,1,Rural,254400
4491,3,3,3,1993,0,Urban,364950
2148,5,2,1,1967,1,Rural,235000
1945,2,3,1,1957,0,Urban,206850
4699,2,2,1,1950,0,Rural,317450
4423,4,3,1,2022,0,Suburban,365250
753,3,2,1,2019,0,Urban,160850
3683,5,3,1,2013,1,Rural,340550
3057,4,1,2,2009,0,Urban,273050
598,2,2,3,1992,0,Suburban,140000
2700,2,2,2,1954,0,Rural,223700
3461,3,2,3,2015,1,Suburban,310050
4933,2,3,3,1967,1,Urban,379250
4277,4,2,1,2018,1,Suburban,351750
3369,4,1,3,1972,0,Suburban,277550
3734,4,2,1,1977,0,Suburban,302300
4291,1,1,3,1969,0,Suburban,292750
1456,3,3,3,1956,0,Rural,192100
4567,2,3,1,1965,0,Rural,330350
660,1,3,1,1953,1,Suburban,136400
4993,4,1,2,1958,1,Rural,354550
1800,3,3,2,1984,1,Rural,222700
4487,1,2,1,1963,0,Suburban,305750
2027,2,2,3,2019,1,Rural,224550
1718,2,1,1,1972,1,Urban,180000
4996,5,2,1,2000,0,Rural,377300
3604,3,2,1,2015,0,Suburban,297200
3235,5,2,1,2017,0,Suburban,299350
1454,4,1,3,1991,1,Rural,192500
3946,2,2,1,2013,0,Urban,308700
1545,4,2,3,1964,0,Suburban,198950
2193,5,3,3,2011,1,Urban,285450
3936,2,3,2,1953,1,Suburban,315200
1062,3,2,2,1980,1,Urban,179600
2985,1,2,1,1971,0,Rural,228050
3854,4,1,1,1996,0,Urban,304000
725,4,1,3,2000,0,Rural,148750
1459,2,1,1,1957,0,Urban,152550
3567,2,3,1,2017,1,Rural,305950
1315,5,3,3,2018,1,Urban,243650
3620,4,3,3,1966,1,Suburban,328300
516,4,1,2,1976,1,Suburban,141100
1743,4,3,3,1969,0,Rural,220350
2705,1,3,3,2000,0,Suburban,252750
3024,4,2,1,1961,0,Urban,267000
1569,5,1,3,1970,0,Urban,201950
3944,4,1,1,1969,0,Suburban,295400
3065,5,1,1,2009,1,Urban,288450
1560,2,3,1,1964,1,Urban,199700
2827,5,3,3,1979,1,Rural,297550
3920,4,1,3,2006,0,Rural,310300
801,3,2,2,2009,0,Rural,155250
4776,2,1,3,1964,1,Urban,340500
1106,1,1,2,1977,0,Rural,125900
3670,1,2,3,1968,0,Suburban,276400
1199,3,2,1,2012,0,Suburban,176050
1639,3,1,1,2014,1,Suburban,193650
690,2,2,1,2017,1,Suburban,152100
2800,4,3,2,2016,0,Suburban,287300
1480,2,1,2,1962,0,Rural,150100
3475,1,3,1,2008,1,Rural,288650
1684,2,1,1,1973,0,Suburban,163600
3827,4,1,2,2008,0,Urban,311250
3894,4,1,1,2011,1,Rural,310500
627,1,2,1,2013,1,Rural,132750
2565,5,3,2,1967,0,Rural,265850
2316,1,3,3,1980,0,Urban,232300
1069,5,1,3,1981,1,Rural,180250
2395,4,2,2,1951,1,Urban,247550
3233,4,1,2,2017,1,Urban,294250
4363,4,2,1,1998,0,Suburban,340050
4514,3,2,1,1958,1,Rural,330600
3401,2,3,1,1977,0,Suburban,280650
2186,5,2,2,1967,1,Urban,251900
3509,2,3,1,1960,0,Urban,285950
654,2,2,2,2019,1,Rural,150900
3037,1,2,1,2016,1,Rural,254150
1909,1,2,2,1979,1,Urban,201650
4557,5,2,1,1974,1,Suburban,362550
1284,1,2,2,1950,0,Rural,141700
3675,1,2,1,2006,1,Rural,283050
4841,5,1,1,1994,0,Urban,362750
3306,2,2,1,1964,0,Rural,252000
1037,3,3,2,1982,0,Rural,173950
2341,2,2,1,2022,1,Suburban,236150
2955,5,1,3,1976,1,Urban,283050
1024,2,2,2,2004,1,Suburban,169900
3450,1,2,3,1992,0,Suburban,272600
4631,3,2,2,1968,0,Suburban,339450
4615,4,3,3,2021,1,Rural,389550
2868,1,1,1,2022,1,Rural,232500
4347,5,2,3,1980,0,Rural,348850
4995,5,2,3,2007,0,Suburban,394350
3201,2,2,1,1991,1,Urban,274850
1471,4,3,2,1965,0,Rural,200550
1666,4,1,2,1963,1,Urban,199700
3274,2,3,2,2015,1,Urban,305700
2482,1,2,1,2004,1,Rural,222800
1353,3,3,3,1991,0,Suburban,202450
4646,4,1,1,1978,1,Suburban,343200
4236,2,3,2,1978,1,Urban,342700
4269,3,3,1,1992,0,Rural,333550
1074,2,1,1,1989,0,Rural,132900
3761,3,3,1,1972,1,Suburban,317150
1648,3,3,1,2008,1,Rural,217300
2215,1,3,1,1991,0,Suburban,215550
4354,5,1,3,1980,0,Suburban,339200
2991,5,2,3,2008,0,Suburban,294450
3160,4,3,3,1971,1,Rural,301800
3624,5,3,1,1970,0,Suburban,319700
3551,4,3,2,2000,1,Rural,325050
504,4,3,3,2007,1,Urban,189800
1376,3,1,2,2011,1,Rural,179600
1491,4,1,2,1951,1,Urban,187350
4642,2,1,2,2010,1,Urban,342600
4864,2,2,2,1961,0,Rural,334000
4965,3,2,2,1996,1,Suburban,374550
1135,1,2,3,1999,1,Urban,173950
2193,3,2,3,1992,0,Suburban,229750
2182,3,2,2,1997,0,Rural,220700
619,5,2,3,1980,0,Rural,162450
1330,5,2,3,1979,0,Rural,197700
4175,3,1,2,1951,0,Rural,291550
1869,2,2,1,1967,1,Urban,201050
1240,3,1,3,2007,1,Suburban,181600
616,2,3,3,2008,0,Suburban,160700
3338,1,3,3,2008,1,Urban,301800
1650,5,3,2,1956,0,Suburban,221800
2431,4,3,1,1963,0,Rural,242950
1512,2,2,1,2003,0,Rural,174000
2164,2,2,2,1956,0,Suburban,202500
1581,1,1,1,1991,0,Suburban,153850
1012,5,1,2,2016,0,Suburban,177900
3349,5,3,3,1959,0,Urban,317650
1059,5,2,1,1961,0,Suburban,173750
4172,2,1,3,2004,0,Urban,312300
3843,5,3,3,1975,1,Suburban,352150
4570,5,2,2,1961,1,Rural,359300
1970,4,2,1,2006,0,Urban,227800
1080,2,2,1,1954,1,Rural,147700
2794,2,2,1,2000,1,Suburban,252200
3647,5,3,2,2013,0,Rural,333750
4749,3,2,2,2019,1,Urban,375650
2179,5,1,3,2012,0,Suburban,240050
4006,2,1,3,1994,1,Urban,311000
3244,2,1,3,1990,1,Urban,271700
3856,4,1,1,1975,0,Rural,287800
4545,1,1,3,1980,0,Rural,303750
1743,5,1,1,1969,0,Suburban,195350
3618,1,3,3,1967,1,Rural,293500
2641,5,3,2,2018,0,Urban,294950
3559,4,2,1,1950,1,Rural,290450
3459,1,1,1,1973,1,Suburban,252350
2765,3,3,2,1995,1,Suburban,279250
2979,5,2,3,2013,1,Rural,300350
2135,5,1,3,1985,0,Urban,234750
2257,4,1,3,1966,1,Urban,235150
4952,5,2,2,2015,0,Suburban,389600
2570,4,3,2,2005,0,Suburban,272500
3349,5,3,2,1999,0,Suburban,319650
3751,5,3,3,2015,0,Urban,354550
4230,3,2,3,1986,0,Suburban,329800
2989,2,3,2,2002,0,Suburban,272550
2131,5,1,2,1979,1,Urban,237750
3316,5,3,2,1974,0,Suburban,310500
1515,1,1,1,1977,0,Suburban,146350
1848,4,3,2,1998,0,Urban,239300
3587,5,3,3,1974,0,Suburban,329050
3339,3,2,3,1955,1,Rural,280950
835,5,2,1,1979,1,Rural,172950
1395,4,3,3,1950,0,Rural,197250
4046,5,2,1,2013,1,Urban,353700
1351,1,2,3,1959,1,Urban,172750
2187,4,3,3,1954,0,Urban,248050
2431,2,1,1,1987,1,Urban,220150
4246,1,1,3,1974,0,Rural,287000
2927,3,3,2,1973,1,Suburban,280750
2068,4,1,1,1957,1,Suburban,208000
4500,3,2,2,1968,0,Rural,327900
3238,5,2,2,2009,0,Rural,297100
3998,1,3,2,1996,1,Rural,316200
4413,5,3,2,1951,1,Urban,373450
1566,2,2,2,1973,0,Urban,182700
4880,2,1,3,1973,1,Suburban,343400
2944,1,3,3,2011,0,Rural,263000
4607,2,2,1,2001,1,Urban,348150
3873,3,2,3,1997,0,Urban,320250
4469,5,3,2,1971,1,Urban,382250
3046,5,2,3,2009,1,Urban,312500
1253,4,1,2,2004,0,Rural,171350
2582,2,3,3,1964,0,Urban,250800
3274,1,1,3,2005,0,Suburban,252700
3396,1,2,2,2001,0,Suburban,267600
4685,1,1,3,2012,1,Suburban,335350
1275,5,3,2,1958,0,Urban,208650
2125,5,3,3,1995,1,Rural,267250
3569,5,1,3,1991,1,Rural,308250
917,5,1,2,1989,0,Rural,160050
614,4,1,1,2010,1,Suburban,151200
1116,4,2,2,2019,0,Suburban,189000
4474,3,3,2,1985,1,Suburban,361700
3767,5,3,3,1999,1,Urban,360550
1325,3,1,3,2009,0,Rural,171450
2016,5,2,1,1955,1,Urban,234800
3646,5,2,1,2000,1,Suburban,324800
912,1,2,1,2017,1,Urban,158200
1228,2,1,3,1978,1,Urban,167300
3848,3,2,3,1976,0,Urban,312700
3308,2,2,3,1968,0,Suburban,268300
1175,2,2,2,1976,1,Urban,174050
3965,3,3,2,2012,1,Urban,349350
3004,4,2,3,2005,0,Suburban,284200
3467,1,1,1,1961,1,Suburban,249150
3286,4,1,2,1989,1,Suburban,283500
1622,3,3,1,1964,0,Suburban,197800
4579,4,1,1,1985,1,Suburban,341950
2071,3,3,2,1970,0,Suburban,227050
2643,4,2,1,1962,0,Urban,248250
2187,5,1,1,1958,0,Suburban,214250
4632,5,2,3,1990,0,Urban,376100
4351,3,3,3,1950,1,Suburban,350050
3940,2,1,1,1978,1,Rural,282900
4266,1,1,1,1958,0,Suburban,278200
2826,2,2,2,1954,0,Suburban,235000
3414,4,2,1,1976,0,Urban,291000
4452,5,2,3,1963,0,Rural,349000
1095,1,1,2,1969,1,Rural,132950
1228,1,3,2,1979,1,Suburban,177600
1865,5,1,1,1968,1,Urban,216150
4992,5,2,3,1958,0,Rural,374500
1198,1,2,1,1997,1,Suburban,161500
895,5,3,2,1997,0,Suburban,196350
4671,1,2,3,2022,0,Suburban,342650
4860,5,1,3,1986,1,Urban,381300
3002,4,3,1,1980,1,Rural,286600
2319,5,1,1,1989,1,Rural,235150
1217,2,3,1,2018,1,Rural,188750
3282,5,3,3,1970,0,Rural,307600
4077,2,1,1,2014,0,Urban,300550
643,3,2,1,2004,1,Urban,160850
3640,2,3,3,1991,1,Rural,311800
4991,1,2,2,2011,0,Suburban,350350
3438,3,1,1,2020,0,Rural,270400
4136,5,2,3,1986,0,Suburban,345100
3722,2,3,3,1997,1,Suburban,322700
1667,5,3,3,1997,1,Suburban,249950
3116,4,2,1,2004,1,Suburban,289500
1562,2,3,2,1983,1,Rural,200500
2656,5,1,2,2018,1,Urban,275700
3482,1,3,1,1969,1,Suburban,282300
3794,2,3,1,2016,0,Suburban,312000
1656,1,3,3,2011,0,Urban,208600
1232,2,3,3,1980,1,Urban,198100
4830,2,3,1,1976,0,Suburban,351800
1453,3,1,2,1989,1,Urban,186850
3039,5,1,2,1951,0,Suburban,259750
3824,5,3,2,1973,0,Rural,330600
3801,3,2,1,1995,0,Rural,296050
2042,4,1,1,1995,0,Urban,213100
1691,3,3,2,1967,0,Rural,202150
3493,5,2,1,2013,1,Urban,326050
3181,4,1,3,2001,1,Rural,281850
1717,5,1,3,1983,1,Urban,223250
2040,4,3,2,2017,0,Rural,244600
3736,2,2,3,2022,0,Urban,310900
2886,1,2,3,1954,0,Rural,228000
4219,3,3,2,1970,1,Rural,339450
1888,4,3,1,1984,1,Rural,232100
2356,5,3,1,1999,1,Rural,270000
1865,2,3,1,1950,0,Rural,190750
999,4,2,1,2004,0,Rural,168650
2180,5,1,1,1950,0,Rural,206500
1010,2,1,2,2006,0,Rural,139800
4812,5,1,1,2012,0,Rural,356700
1824,3,2,1,1963,0,Urban,197600
1655,5,1,2,1963,0,Suburban,194150
2327,1,3,2,1954,1,Suburban,225050
3641,3,3,2,2003,0,Rural,310450
3986,2,1,3,1986,0,Urban,297600
2310,1,3,3,1953,1,Urban,233900
3423,2,1,2,1986,1,Suburban,269450
2714,1,2,3,2022,1,Suburban,254800
4686,3,1,2,1982,1,Urban,346400
1213,4,3,3,1971,0,Urban,204450
4102,5,3,3,1989,0,Suburban,359300
4634,5,3,2,1971,0,Rural,370500
4022,3,1,3,1989,0,Urban,310300
4768,5,3,2,1952,1,Rural,381500
1743,1,2,3,2005,0,Urban,196150
4209,5,3,3,1993,0,Rural,360850
1581,5,1,2,1968,0,Urban,196950
955,2,1,1,1968,0,Rural,120650
1394,1,3,1,1992,1,Suburban,184800
1884,1,2,3,2000,1,Suburban,206700
2458,3,2,3,2004,0,Suburban,246600
3572,3,3,3,2002,0,Suburban,316700
2496,1,2,2,1974,1,Suburban,224500
4785,1,2,1,2018,0,Suburban,337150
1004,3,3,2,1990,0,Suburban,179700
1714,2,2,2,1976,0,Urban,191000
2031,5,3,1,1956,0,Urban,240850
3940,1,2,2,1953,1,Suburban,290400
1323,3,2,2,2009,1,Urban,201350
1428,4,3,3,2014,0,Rural,218100
633,3,1,2,1974,1,Rural,131350
2605,3,2,3,1953,0,Suburban,238650
4127,2,3,1,2017,0,Rural,323950
2352,3,2,1,2020,0,Rural,231100
4675,4,1,2,1956,0,Urban,338050
3433,2,1,3,2010,0,Rural,267150
3784,3,3,3,1968,0,Rural,312100
4798,3,2,2,2021,1,Urban,378700
3311,2,3,2,1998,0,Rural,282450
1750,3,1,2,2013,1,Rural,198900
4012,5,2,3,2009,1,Urban,360800
1756,4,1,2,1983,1,Rural,200200
3876,2,1,3,1967,0,Suburban,281400
3986,3,3,3,2016,0,Suburban,341600
4084,5,3,2,2012,1,Suburban,370300
1896,3,2,2,2016,1,Rural,222100
4137,3,3,1,2011,1,Urban,352650
3830,5,3,3,2003,0,Rural,344900
3203,1,2,1,1951,1,Urban,252950
970,5,3,1,1995,0,Rural,189500
1853,2,3,2,1951,1,Urban,215450
3283,2,3,3,2004,1,Rural,297850
3331,1,3,2,1977,0,Rural,267150
857,2,2,3,2012,1,Suburban,168950
3519,1,3,2,1989,1,Rural,290150
1167,5,1,2,1962,0,Rural,164450
4968,3,2,2,1965,0,Rural,350400
1645,3,3,2,2003,0,Suburban,215650
4685,1,1,2,1968,1,Suburban,317150
4219,3,3,2,2005,1,Rural,349950
3245,1,3,2,1981,0,Rural,264050
1039,2,2,3,1988,1,Urban,175850
3279,2,2,1,1972,1,Urban,273050
4636,4,1,3,1976,1,Urban,357100
4275,4,2,3,1962,0,Suburban,334850
3008,2,3,1,1995,1,Suburban,276400
3279,2,2,2,1983,0,Rural,261350
1424,2,2,3,1990,1,Rural,185700
3456,4,3,1,1995,0,Urban,313800
2081,5,1,2,1991,0,Suburban,223850
3824,3,1,2,2018,1,Rural,304100
4985,3,1,1,1983,0,Suburban,341650
755,4,2,3,1994,0,Rural,163450
2338,3,1,3,1963,1,Suburban,223300
2444,1,2,2,2000,0,Rural,214700
509,4,3,1,1963,0,Suburban,151850
3371,2,1,2,1975,0,Suburban,253550
1297,5,3,2,2002,1,Urban,232950
1515,1,3,3,1956,0,Rural,175050
2324,1,3,1,1980,1,Suburban,227700
4969,4,2,1,1993,1,Rural,373850
3636,2,3,2,1997,1,Suburban,313400
2693,2,2,1,1968,0,Suburban,227550
723,1,3,3,2007,1,Suburban,165750
4658,2,3,1,1989,0,Rural,342100
4425,2,3,1,1955,1,Rural,330250
4500,2,2,2,2014,1,Urban,351700
2133,3,1,2,1993,1,Suburban,217050
2652,5,3,1,2011,1,Rural,288400
1010,4,2,3,1991,1,Rural,185300
884,4,1,2,1985,1,Urban,167200
904,3,3,2,1961,1,Suburban,176000
2500,3,1,3,2014,0,Rural,231700
3256,4,2,2,1952,1,Suburban,285900
2168,4,2,3,2011,0,Rural,239200
1960,2,1,1,1983,0,Rural,175400
4136,3,1,3,1962,1,Urban,317900
3224,3,1,3,1967,0,Rural,253800
4678,5,3,1,1972,0,Rural,368000
2548,1,2,2,1969,1,Suburban,225600
4646,5,3,3,2004,0,Rural,386000
1216,2,3,1,1956,0,Rural,160100
2323,2,2,3,2005,1,Rural,235150
2581,2,3,3,1974,0,Urban,253750
3919,5,1,3,2020,1,Urban,344450
2074,1,2,1,1980,1,Urban,205200
749,1,1,1,2016,1,Suburban,129750
1173,2,1,3,1996,0,Urban,159950
2665,2,3,3,2011,0,Suburban,264050
1270,1,2,1,1979,0,Suburban,149700
4462,1,3,3,1997,1,Rural,344700
4863,3,3,3,1968,0,Urban,376050
2484,4,2,1,1990,0,Suburban,243700
1577,5,1,2,1950,0,Suburban,186350
735,5,2,3,2013,1,Suburban,193150
888,4,3,1,1952,1,Suburban,177500
3537,4,3,3,1997,0,Urban,328450
2348,3,3,3,1976,0,Suburban,247700
3314,1,2,1,2009,1,Rural,265900
3874,1,1,2,1968,1,Suburban,276600
3778,3,2,2,1985,0,Rural,296900
1752,1,2,1,1967,1,Urban,185200
4481,3,3,1,2007,1,Urban,368650
2622,2,2,2,2019,1,Rural,249300
2650,3,2,1,2021,0,Urban,256300
1829,2,2,2,2020,1,Rural,209950
1858,2,1,1,1989,0,Rural,172100
2982,2,3,2,2009,1,Suburban,284300
2517,4,3,2,2012,0,Suburban,271950
1831,4,1,1,1981,1,Suburban,203350
4844,1,3,2,1961,0,Urban,348000
4761,2,1,3,1988,0,Rural,326950
1858,4,1,2,1992,1,Rural,208000
3677,2,2,2,1990,0,Urban,293350
2628,4,3,1,1968,0,Urban,264300
2680,4,3,3,1997,1,Urban,295600
637,5,2,1,1997,1,Rural,168450
3972,5,2,2,2002,1,Suburban,346700
3332,2,3,1,1994,1,Urban,297300
4079,4,1,3,1958,0,Rural,303850
3531,5,2,2,1979,0,Rural,302750
4664,1,2,1,1970,0,Rural,311700
3093,2,1,1,1978,0,Rural,230550
4800,4,2,3,1973,0,Rural,359400
4318,4,3,3,2001,1,Rural,368700
4638,5,2,2,2019,1,Rural,380100
4323,1,2,1,1959,0,Rural,291350
4542,2,3,3,1992,0,Rural,347200
2406,2,1,1,1997,1,Urban,221900
1260,5,2,2,1976,0,Suburban,193300
3945,3,2,2,1992,0,Urban,317350
1399,1,1,1,1989,1,Urban,159150
4955,1,2,3,1961,0,Rural,333550
3447,2,1,1,2019,0,Rural,260550
2219,3,3,2,1971,0,Rural,229750
780,4,1,3,1985,0,Rural,147000
3766,4,2,2,1978,0,Suburban,309200
2387,3,3,3,2022,1,Urban,278450
3766,5,3,3,1978,1,Urban,354200
1166,4,2,1,1969,0,Suburban,171500
4688,2,2,2,2013,1,Urban,360800
1171,5,1,2,1963,0,Rural,164950
2469,1,3,3,2020,0,Urban,251950
4656,5,1,1,1958,0,Suburban,337700
3622,5,1,3,1979,1,Rural,307300
4400,2,1,2,1987,0,Rural,303600
1023,5,3,3,1995,0,Urban,212150
2893,1,3,1,2004,0,Rural,248350
3617,2,3,3,2003,1,Urban,324250
3093,5,1,1,2009,0,Rural,269850
2468,4,3,1,1978,1,Rural,259300
2253,2,1,1,2015,1,Rural,209650
2796,4,3,1,1998,1,Urban,291700
