LotArea,YearBuilt,1stFlrSF,2ndFlrSF,FullBath,BedroomAbvGr,TotRmsAbvGrd,SalePrice
13901,2013,1145,227,3,4,6,207579
10575,1970,1744,881,2,2,4,331935
10530,1914,1001,136,1,4,4,151301
17936,1917,1656,193,2,4,4,245617
9413,1981,1345,705,2,1,7,259188
8748,2015,552,657,3,4,5,166655
18545,2004,949,656,3,1,9,217145
17971,1987,561,1377,1,2,9,235587
5663,1901,1546,929,3,4,8,319536
6998,2003,543,555,2,5,10,163113
12994,1983,1319,1180,3,4,6,329145
16637,1997,1158,957,1,1,11,256006
16935,1942,1227,1499,1,5,7,326554
18919,1925,1351,1039,2,2,6,279655
6495,1970,546,1101,2,3,5,195430
8304,1937,1319,51,3,3,11,204613
8763,1993,1547,513,1,1,6,258024
10232,1941,588,743,2,2,11,191231
6853,1904,1697,1084,3,2,3,347606
18808,1910,1642,1155,3,4,7,367066
11585,1964,1234,1405,3,3,3,308643
17851,1933,677,691,2,4,11,185792
6291,2019,1518,542,2,2,9,259442
8581,1900,1865,409,3,1,11,322517
16649,1982,1582,154,3,1,7,242817
12554,1901,1400,632,2,5,11,287028
12280,1984,937,50,1,1,6,125903
6636,1919,1951,1023,3,3,5,370345
8696,1960,925,993,1,5,4,243881
16191,1986,1467,1118,1,3,6,299593
16344,1920,1904,523,2,4,5,307832
5698,1987,985,354,2,4,11,201950
15352,1967,1708,1068,1,1,10,318045
17289,1911,959,801,2,5,3,241016
9737,1921,1420,1228,1,3,4,321874
19555,1919,1625,839,1,3,5,291457
18877,1981,1538,1454,2,2,8,361477
5854,1900,1247,255,2,1,7,206900
13164,1929,550,247,3,4,7,133004
10855,1996,808,532,2,2,8,181576
12392,1923,1557,40,3,4,10,236693
11528,1913,1504,1482,2,4,3,364433
16666,1935,1134,789,2,3,7,256139
18949,1968,704,1300,2,4,8,259471
10249,1974,1239,194,2,5,8,216140
10172,1923,1593,1094,1,4,11,344378
6707,1959,1753,1293,2,5,9,388578
15969,1994,1032,1358,1,4,6,305444
10791,1954,607,307,2,2,9,136413
14925,1976,1375,1450,2,3,9,330018
10535,1979,1764,1222,1,2,8,373298
19582,1923,750,75,2,3,10,141024
9931,1976,634,786,3,2,10,200966
8510,1923,1613,794,3,1,8,298272
5202,1953,1963,229,2,4,4,271846
16447,1925,1188,84,3,4,7,194796
9218,1965,1821,1185,3,1,3,358419
17688,1979,906,396,3,1,11,188135
13958,1937,1831,1394,3,5,6,395873
9389,2009,601,214,1,2,3,111075
7327,1964,1884,1024,1,4,5,348743
13004,2012,1192,376,1,5,4,223626
7931,1974,1816,411,3,4,11,306075
12777,1950,1669,799,3,1,9,324783
5197,1934,903,1223,1,5,8,271404
12125,1942,1313,1206,3,5,6,333142
6930,1928,1525,409,1,5,6,257685
16774,1936,1642,1421,1,2,9,377344
11287,1980,1354,215,1,5,10,231196
13800,1957,1714,751,3,4,6,335286
16464,1953,1526,348,1,2,9,254029
14339,1938,1441,830,2,4,5,280159
9282,1941,1520,653,1,5,11,287862
16589,1927,676,1021,1,5,5,201052
7511,1928,1780,1064,2,4,5,348892
14986,1942,1372,2,3,3,4,183055
5659,1902,976,1117,1,5,5,266352
7811,2015,897,1082,2,5,10,242863
12098,1909,719,739,3,2,4,178511
19243,1958,672,406,2,4,3,152437
11546,2005,1235,17,1,5,7,191930
14561,1913,1913,750,2,4,10,326459
6986,1975,1001,585,3,2,8,219360
18822,1946,1260,887,1,4,4,271344
13338,1941,1783,331,2,4,11,274241
16411,1993,630,1012,3,2,6,191878
7911,1931,1636,168,3,5,5,253231
6734,1931,1297,775,1,4,6,266828
6843,1941,1298,848,1,3,5,259902
13680,1931,1429,940,1,5,10,307555
7976,1925,1222,205,1,2,3,184206
6959,2014,1543,520,2,1,3,276150
10759,1900,714,1017,3,3,11,210977
11694,1955,1833,1369,1,5,9,390160
7385,2021,1774,303,1,2,11,272279
16111,2005,987,114,1,3,5,136716
9736,1901,1905,663,2,5,5,333475
6802,1980,1932,86,3,1,4,260813
13155,1929,1794,1118,3,5,4,356146
13120,2019,1930,742,1,1,11,323283
11616,2002,1717,427,3,1,4,275722
19257,1970,1964,449,2,4,6,319434
19486,1951,812,785,3,2,6,207164
10534,1990,578,714,1,4,11,188868
9061,1908,679,1,3,1,5,113318
16561,1921,1503,1101,2,2,4,332567
18922,1933,1174,1347,2,2,5,290668
5262,2009,513,742,3,2,11,164573
19075,1948,1358,1121,3,3,7,319101
11287,1900,745,109,1,5,7,131572
19681,1972,1537,678,1,1,9,264850
13815,1983,598,1480,1,2,3,226863
14208,1952,532,370,3,3,7,146308
16835,1982,1959,1360,2,3,11,421549
18168,1999,756,889,2,1,8,216328
7049,1939,533,598,3,4,10,171751
10423,1944,518,1045,2,3,10,203366
19589,1967,1783,721,2,1,3,303230
16915,1908,1088,304,3,3,10,207518
9548,2004,1939,923,2,1,8,355685
8108,1921,636,1295,3,2,6,229008
18471,1917,858,835,1,4,5,223615
17282,1975,1253,445,2,3,7,228319
12158,2005,1639,931,3,3,7,305650
15248,1942,903,277,2,3,9,160539
12400,1938,1725,376,2,5,11,287448
8170,1972,1899,231,1,5,3,279081
14874,1905,749,591,3,2,11,192057
7255,1982,945,425,1,3,5,172941
6154,1947,1453,1078,2,4,8,332498
9499,2010,777,440,2,5,8,185742
11295,1906,611,33,2,1,6,101275
11197,1979,1996,328,3,1,4,282680
16383,1968,1245,844,1,1,7,252742
14888,1915,1187,453,3,2,5,214969
17183,1900,891,1411,2,3,6,262205
17915,2014,1468,763,1,3,8,287671
17874,1936,642,1453,2,5,9,267220
6648,2002,1555,1499,1,1,4,342806
10539,1982,680,1148,3,2,5,229881
14637,2017,1078,522,3,4,9,236335
9199,1936,1297,481,3,3,7,246847
17115,1980,768,316,3,3,6,153906
13445,1963,1759,121,3,2,6,280148
16375,1989,1800,580,1,5,11,320360
7557,1985,1052,1336,1,2,11,286584
10592,1961,1132,486,2,5,9,243734
5098,1971,774,1035,1,3,3,198405
7200,1960,1242,124,2,5,3,180773
19172,1932,585,658,3,5,5,171066
7961,1965,1586,1100,1,5,5,340063
19207,1929,903,579,1,5,9,197638
9973,2010,691,717,3,1,4,179356
9433,1919,1816,1259,3,1,10,372617
16969,1959,1554,769,3,1,3,294392
7869,1981,1853,1277,2,1,10,387819
16426,2006,606,903,2,2,11,186497
16983,2020,1121,405,1,4,7,205551
5956,1973,775,1266,3,5,6,264123
18992,1923,1150,1484,1,2,8,311512
17259,2019,1055,276,3,1,8,187496
13352,1903,1605,1492,3,5,10,384900
10699,1936,1587,1243,3,4,10,370045
11944,1903,1066,1248,3,5,3,281080
9493,1976,1085,924,3,3,11,278032
14492,1988,1384,1124,2,3,3,303461
9911,1976,628,853,1,2,5,176694
8987,1917,755,506,3,4,9,185593
14719,2022,1433,1354,2,2,7,338210
11015,1987,730,236,2,5,8,148742
18703,1965,1660,993,3,4,10,341704
18446,1947,1362,1362,3,2,6,322617
6218,1932,1978,751,2,5,6,363841
9496,1957,854,505,3,1,10,182880
9735,1982,645,164,2,5,5,116627
16296,1972,1556,845,3,2,8,312547
15927,1927,759,727,2,4,6,178907
9555,1934,586,1241,3,4,8,237684
14146,2020,1342,375,2,1,6,212409
13050,2002,764,1035,1,2,4,218597
17757,1909,891,1455,3,1,5,278497
8446,1964,731,82,3,3,10,131045
6045,1941,1400,430,2,5,3,240265
11893,1984,1087,477,3,3,8,222515
6693,1908,946,782,1,3,11,223233
19373,1959,1652,368,1,1,3,245339
19565,2010,1794,954,2,1,6,344954
8436,1914,1612,140,2,5,9,254592
13754,1998,965,719,3,1,8,216962
15677,1956,1433,1479,2,1,8,349669
10895,1968,1693,1426,1,1,11,372561
8354,2004,627,1015,1,1,10,215098
19362,2021,1697,287,3,1,7,247293
5225,1921,1549,354,1,3,4,248765
9893,1963,1072,342,2,3,5,196659
19619,1940,1010,148,3,5,5,168659
12022,1986,987,209,3,4,6,169273
14151,1970,1390,1135,3,5,4,329847
10600,1955,1078,653,2,2,10,228544
17740,1922,1449,975,3,5,10,335745
16259,2007,905,535,3,5,10,201940
12996,1924,1549,1072,1,1,7,314205
14007,1990,1606,330,1,1,8,244031
17946,2004,863,364,3,1,8,169714
12683,1905,1890,10,2,4,9,271224
9642,2018,1583,1211,2,1,3,322540
18503,1933,1050,508,2,2,5,201040
16312,1962,791,579,2,3,5,174234
12679,1908,1288,1468,1,2,9,336419
13208,1959,1315,1113,2,4,8,326318
12339,1948,690,621,2,1,11,192858
14435,1996,960,900,3,5,11,247554
7205,1950,1163,1471,2,3,11,322901
15716,1959,732,717,2,4,6,193019
6069,1969,973,1055,2,2,5,227842
8444,1936,1928,326,2,1,6,288421
15757,1930,1157,73,1,4,5,177902
19434,1997,770,250,3,4,9,162234
19056,1940,1657,449,1,5,5,272761
6060,1961,670,905,3,5,3,200329
7327,1992,1938,354,3,5,10,314483
8420,1957,527,532,3,2,8,148679
19832,1913,635,295,3,5,7,139301
5301,1935,1424,297,1,4,10,246846
17468,1935,904,1351,3,4,10,306361
5606,2016,1476,301,2,4,5,233086
8170,1978,1387,511,2,3,5,236395
5699,1907,1764,1361,3,3,9,382213
10088,1925,1355,584,2,2,5,237236
14331,1935,943,373,2,5,11,192738
5190,1947,933,1117,3,4,10,273315
15492,1984,1751,131,3,5,10,285239
5980,1927,1008,909,3,4,11,244963
7975,1967,1826,52,1,3,10,267776
11102,1961,533,228,3,4,6,125726
6184,1979,1525,639,3,2,9,264621
8327,1985,861,1235,1,1,8,238231
8394,1975,1718,796,2,4,3,318826
13319,1979,1105,790,1,2,7,228025
15257,1950,1831,494,2,3,4,292244
6816,2003,1215,852,1,3,11,265709
10854,2001,749,670,3,1,5,196705
11709,1941,646,1256,1,5,9,228364
5569,2000,1869,1094,3,5,4,378111
10442,1928,847,188,2,4,9,173172
6895,1981,1777,662,3,3,6,305666
7733,1909,898,7,1,2,8,143271
8863,2005,1857,331,1,1,11,280690
17913,1938,1699,1039,2,5,10,345858
12455,1981,624,665,3,4,11,187073
9014,1900,1262,668,2,4,7,256530
16093,1938,897,1116,3,3,7,249771
6686,1920,630,1285,3,2,6,246254
8009,1964,1104,160,2,2,11,182125
12806,1914,1391,350,2,5,10,226558
5154,1903,1321,1197,3,4,8,320501
15729,1959,1401,316,2,3,8,221929
6409,1960,1444,936,3,2,8,301256
17249,1919,1930,17,2,4,8,274982
5784,1909,1231,485,2,2,9,223646
16367,1986,833,366,2,1,8,148382
13096,2004,1543,350,1,2,10,241108
12560,1933,704,527,2,2,9,184165
17533,2009,1455,871,1,4,4,288598
12343,1947,854,1458,3,2,6,289861
12206,1932,1696,932,3,2,9,352367
10596,1997,1712,269,2,1,4,273955
10801,2002,1323,870,1,2,6,270878
7806,1960,1525,1091,3,2,4,318270
5537,1909,1440,1053,1,4,4,296845
10986,1953,667,315,1,3,9,144550
6841,1983,867,736,3,1,4,208252
18208,1964,1035,163,1,2,6,170542
15647,1976,1462,925,1,3,9,289783
13716,1900,1079,319,3,4,8,194359
11971,1904,1893,1037,2,1,6,353449
10625,1979,1449,278,2,4,11,245703
7950,1914,1960,431,1,3,7,322460
12992,2012,706,667,2,1,4,148826
17323,1927,1572,633,3,2,9,284869
9780,1994,1043,1286,3,3,4,294215
17307,1922,628,521,3,4,10,164446
7368,2011,1970,963,1,1,9,358487
17039,2008,1113,1195,3,3,11,308668
11655,2006,534,357,1,3,8,136404
13173,1916,1318,1036,1,4,9,303586
9495,2012,698,724,3,4,11,203131
15893,1997,576,672,3,2,9,176530
14163,1912,868,231,1,2,11,161924
11002,1913,1332,1499,3,3,10,348422
11614,1910,1025,470,2,4,7,214334
14358,1927,848,1183,1,3,9,238990
18403,1941,1005,638,1,5,9,215727
18121,1995,1142,559,3,4,3,234341
10919,1998,737,1284,3,5,6,239093
15966,1960,1803,572,1,5,7,308989
15174,2022,1955,601,1,4,8,338726
5853,1963,637,1382,1,2,9,235991
9146,1930,1792,254,3,3,7,282570
16928,1980,1724,601,1,1,4,284220
8769,2010,1665,279,2,1,7,261253
5574,1972,1111,116,2,4,7,181059
16453,1909,1179,609,3,2,9,252854
6148,1907,1338,1185,1,2,5,303786
11293,1920,1437,851,1,2,3,283170
11457,1976,854,297,2,1,8,169277
19905,1958,1077,915,1,5,9,272306
12509,1949,1346,1320,3,1,10,321847
19640,1968,1852,1381,3,2,9,386929
14907,1969,1058,517,3,1,9,225081
9777,1929,1348,377,1,1,9,227085
18125,1994,1754,425,1,3,3,291724
8854,1916,1831,536,2,4,11,295391
18365,1974,1669,552,2,5,11,301772
7491,1919,1675,168,3,3,9,259607
15852,1947,639,514,1,4,11,176041
19599,1972,1162,1387,1,2,6,320648
8124,1901,520,429,3,3,9,147370
10691,1936,1777,568,3,4,4,309249
8051,1900,563,82,2,3,8,92893
5004,1903,1741,329,2,1,4,265687
10222,1999,1595,690,3,1,5,291355
10315,1953,1489,1156,1,3,3,308578
9869,2021,661,456,2,3,9,164905
5876,1924,629,352,3,5,4,151170
14183,1902,1080,343,1,2,5,201075
12027,1908,724,1117,3,1,3,214973
9142,1985,1079,1405,1,3,5,285111
11966,1986,1977,761,2,4,6,338826
12079,1975,1482,1318,1,2,9,334286
12987,1973,1504,197,1,4,8,217243
11799,1933,1907,78,3,2,3,261019
17556,1942,606,677,1,4,6,169769
9465,1973,1120,550,2,1,11,239393
5635,1993,1339,819,3,3,5,275332
18417,1921,1626,213,3,3,8,269078
6693,1969,1664,668,3,5,4,312768
14874,2013,1076,988,3,3,7,267301
9752,1901,1657,893,3,1,11,326716
13311,1993,698,158,3,2,4,133922
5830,1965,1009,738,3,2,5,232305
19098,1931,1166,556,2,3,4,217238
16867,2005,578,200,2,4,4,125222
10177,1915,1393,21,3,3,8,208356
19262,1975,1011,1362,1,2,8,289972
14561,1900,749,1265,3,5,7,276795
13932,2016,1388,1261,3,2,4,318049
13308,1971,1523,1172,3,4,3,313106
10949,1947,1098,784,1,4,5,236627
7838,1949,1252,6,2,5,5,175106
6150,1912,1099,1256,1,4,11,299110
12560,1914,1474,803,1,3,6,273104
6931,1952,982,767,1,3,11,229432
14204,1943,1335,578,1,2,3,251305
6664,1907,671,1100,3,1,5,236842
6081,1973,1368,488,2,3,3,241572
17921,1945,516,925,1,3,8,175406
5512,1968,1817,86,2,5,3,266375
16041,2013,893,221,3,3,4,156609
18407,1918,1742,412,3,2,11,278341
12805,2010,733,583,2,5,3,196795
10237,1937,1913,201,3,3,6,285555
5559,2022,747,570,2,2,8,184153
8672,1910,551,1299,1,5,4,220766
17775,2016,514,220,3,1,3,113025
12404,1942,1847,156,3,2,6,261978
18184,1919,940,1204,2,3,5,261044
8343,1919,1635,128,3,5,9,266168
18500,1920,1195,1266,1,1,9,294204
9070,1981,506,1195,3,2,9,210787
17991,1956,1325,876,3,1,11,295815
14662,1949,1768,269,3,2,11,278450
5580,1973,1971,1444,2,3,6,408099
12004,1997,1888,162,1,2,11,264468
15486,1925,1890,954,1,3,9,369674
13130,1929,1810,23,3,2,8,267142
8147,1972,1629,496,3,5,11,294542
9249,2009,1536,192,2,2,6,222812
6679,2014,1669,877,1,2,3,311768
8506,1930,977,389,3,4,8,203167
18284,1941,1130,496,1,4,3,204085
12253,2018,1214,963,3,2,11,284060
7744,1967,614,805,3,4,7,201092
16548,1960,1008,128,2,3,4,163044
17237,1960,1675,1020,1,4,10,343694
14435,1969,556,552,1,2,8,151533
10188,1977,881,1059,3,1,5,246913
16310,1967,1680,1480,3,1,4,370019
18296,1989,1451,360,2,2,6,239726
7141,2010,1656,764,3,2,3,294896
19061,2011,1686,1238,1,1,3,333628
18245,2002,774,286,2,5,7,179515
16251,1916,1600,767,1,4,11,293450
17740,1918,543,924,2,5,7,203240
18515,1950,1217,368,1,3,8,240023
16151,2012,817,1492,3,1,11,304886
15457,1969,1033,898,1,1,5,237390
11617,1962,1677,1209,1,5,6,373244
7479,1992,736,1497,2,3,4,269028
11484,1974,1392,1084,1,5,6,304487
17838,1979,1016,261,3,3,10,192228
14827,1929,1744,787,2,2,4,320983
18600,1924,1833,110,2,2,6,279733
12421,2003,1700,941,1,1,10,336726
14949,1974,1743,140,2,2,9,256274
9452,1970,537,744,3,5,11,184455
15262,1925,1153,534,1,3,4,194363
10881,1955,1954,78,3,1,6,270916
11665,1921,1246,1054,1,2,11,277573
19069,1988,1726,508,1,1,8,291190
7849,1918,1340,970,2,1,11,290277
16443,1930,947,65,2,3,11,170866
12390,1925,1183,1394,2,5,9,349435
11905,1941,624,286,1,5,9,140177
16922,1940,1588,1199,2,4,10,354087
7489,1999,1292,122,3,5,4,208874
14823,1922,1283,1254,2,2,9,310535
16008,1946,1767,554,3,4,8,311600
14207,1912,725,1003,2,4,9,223799
14540,1988,964,3,1,4,8,162559
9611,1965,1142,411,2,4,5,207984
16279,1965,792,249,3,5,7,151454
7839,1915,1220,1368,3,4,5,308574
13527,1972,1904,1356,2,2,8,387667
10878,1927,1255,452,3,2,5,222320
19593,1976,665,157,1,1,4,120251
17784,1934,1268,836,2,2,6,271881
14087,1940,1741,1013,3,1,11,359178
11303,1976,1506,1293,2,2,3,332188
16738,1930,1370,1441,2,4,10,360435
5851,1984,1798,1463,2,3,7,392610
6687,1931,1575,1052,2,4,4,305849
15123,1953,1897,977,2,5,11,381825
11833,1997,1886,334,1,1,4,268867
16938,1971,1066,1261,2,3,5,280854
7427,1958,1537,152,1,2,3,213009
14760,1940,1863,748,2,4,3,331582
9000,2011,1101,833,3,1,4,243009
10052,1965,1612,1138,2,1,4,325948
7738,2001,1404,807,2,2,8,297169
16690,1995,540,757,3,1,10,177592
10732,1953,1827,1422,1,2,6,382070
10387,1939,1791,1055,1,2,5,349498
13002,2021,1661,531,1,4,4,289094
10536,1927,1529,52,1,1,3,211589
18479,1936,741,717,3,5,10,204642
8913,2004,661,1218,1,5,9,242794
6066,1964,1518,1328,1,4,4,340808
12723,2004,1191,344,1,4,9,210382
9380,1973,1308,1105,1,2,8,285115
15636,1954,1478,0,1,5,10,219563
9107,1903,1017,166,2,1,8,178515
10726,1998,1397,316,2,5,6,252536
8373,1909,1282,1206,1,4,10,322972
17161,1946,1924,964,3,4,3,355790
15738,1974,1283,897,3,2,3,261331
13945,1913,1679,272,2,1,6,238750
